<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURUSD;D;200803;0;1.17806;1.17889;1.1694;1.17603
EURUSD;D;200804;0;1.17604;1.1815;1.172;1.18133
EURUSD;D;200805;0;1.18134;1.19049;1.1798;1.1872
EURUSD;D;200806;0;1.18718;1.19162;1.18169;1.18745
EURUSD;D;200807;0;1.18755;1.1882;1.1754;1.1787
EURUSD;D;200809;0;1.1783;1.1792;1.1772;1.1781
EURUSD;D;200810;0;1.17802;1.18007;1.1734;1.17351
EURUSD;D;200811;0;1.17361;1.1808;1.172;1.17347
EURUSD;D;200812;0;1.17345;1.18171;1.1709;1.17938
EURUSD;D;200813;0;1.1793;1.18642;1.1792;1.18153
EURUSD;D;200814;0;1.18153;1.18504;1.178;1.18408
EURUSD;D;200816;0;1.1839;1.1853;1.18313;1.18517
EURUSD;D;200817;0;1.1852;1.1881;1.1827;1.18745
EURUSD;D;200818;0;1.18745;1.19656;1.1872;1.19462
EURUSD;D;200819;0;1.19463;1.19527;1.1829;1.18436
EURUSD;D;200820;0;1.18433;1.18711;1.1801;1.18696
EURUSD;D;200821;0;1.18684;1.18829;1.1753;1.17958
EURUSD;D;200823;0;1.1796;1.18068;1.17875;1.17973
EURUSD;D;200824;0;1.17983;1.18496;1.1782;1.17926
EURUSD;D;200825;0;1.17932;1.18439;1.1782;1.18339
EURUSD;D;200826;0;1.18331;1.18406;1.1771;1.18391
EURUSD;D;200827;0;1.18393;1.19019;1.1761;1.18204
EURUSD;D;200828;0;1.182;1.19197;1.1809;1.19008
EURUSD;D;200830;0;1.19042;1.19202;1.18979;1.19172
EURUSD;D;200831;0;1.1916;1.19661;1.1883;1.19357
EURUSD;D;200901;0;1.19365;1.20114;1.19;1.19223
EURUSD;D;200902;0;1.19215;1.19241;1.1821;1.18452
EURUSD;D;200903;0;1.1845;1.18646;1.1787;1.18407
EURUSD;D;200904;0;1.18404;1.18654;1.1779;1.18389
EURUSD;D;200906;0;1.1839;1.18506;1.1832;1.18342
EURUSD;D;200907;0;1.18337;1.18487;1.18086;1.18188
EURUSD;D;200908;0;1.18183;1.18276;1.17559;1.17665
EURUSD;D;200909;0;1.17659;1.18342;1.1751;1.18035
EURUSD;D;200910;0;1.18027;1.19175;1.1799;1.18231
EURUSD;D;200911;0;1.18223;1.18742;1.1822;1.18453
EURUSD;D;200913;0;1.1832;1.18475;1.1832;1.18405
EURUSD;D;200914;0;1.18403;1.1888;1.1831;1.18661
EURUSD;D;200915;0;1.18671;1.19005;1.1838;1.18411
EURUSD;D;200916;0;1.18416;1.18826;1.1786;1.18043
EURUSD;D;200917;0;1.18043;1.18561;1.1736;1.1847
EURUSD;D;200918;0;1.18463;1.18705;1.1825;1.1839
EURUSD;D;200920;0;1.184;1.185;1.18387;1.18456
EURUSD;D;200921;0;1.1845;1.18719;1.173;1.17629
EURUSD;D;200922;0;1.17625;1.17716;1.169;1.1704
EURUSD;D;200923;0;1.17053;1.1719;1.1648;1.16557
EURUSD;D;200924;0;1.16557;1.1687;1.1625;1.16736
EURUSD;D;200925;0;1.16734;1.16851;1.1611;1.163
EURUSD;D;200927;0;1.1633;1.16379;1.16131;1.16341
EURUSD;D;200928;0;1.16342;1.168;1.1613;1.16761
EURUSD;D;200929;0;1.16759;1.17458;1.1663;1.17414
EURUSD;D;200930;0;1.17414;1.1755;1.1683;1.17232
EURUSD;D;201001;0;1.1723;1.17696;1.1715;1.1743
EURUSD;D;201002;0;1.1743;1.17446;1.1694;1.1716
EURUSD;D;201004;0;1.17102;1.17201;1.17046;1.17191
EURUSD;D;201005;0;1.17186;1.17975;1.1716;1.1788
EURUSD;D;201006;0;1.17888;1.18077;1.1729;1.1736
EURUSD;D;201007;0;1.17369;1.1782;1.1723;1.1765
EURUSD;D;201008;0;1.17648;1.17818;1.1731;1.17664
EURUSD;D;201009;0;1.17662;1.1831;1.17557;1.1826
EURUSD;D;201011;0;1.18058;1.18232;1.17958;1.1814
EURUSD;D;201012;0;1.18149;1.18268;1.1785;1.18127
EURUSD;D;201013;0;1.18127;1.1814;1.1728;1.1742
EURUSD;D;201014;0;1.17421;1.1771;1.17184;1.17443
EURUSD;D;201015;0;1.17444;1.17578;1.1687;1.17055
EURUSD;D;201016;0;1.17055;1.17462;1.1692;1.17158
EURUSD;D;201018;0;1.17158;1.17229;1.17099;1.1714
EURUSD;D;201019;0;1.17142;1.17938;1.1701;1.17682
EURUSD;D;201020;0;1.17682;1.18408;1.1758;1.18287
EURUSD;D;201021;0;1.18288;1.18807;1.1827;1.18507
EURUSD;D;201022;0;1.18514;1.18669;1.181;1.1813
EURUSD;D;201023;0;1.18146;1.1865;1.1785;1.1859
EURUSD;D;201025;0;1.1858;1.18599;1.1838;1.18478
EURUSD;D;201026;0;1.18479;1.18507;1.1801;1.18089
EURUSD;D;201027;0;1.18089;1.18388;1.1768;1.178
EURUSD;D;201028;0;1.17816;1.1788;1.1716;1.17473
EURUSD;D;201029;0;1.1748;1.17588;1.1648;1.16781
EURUSD;D;201030;0;1.16778;1.17043;1.1638;1.16459
EURUSD;D;201101;0;1.1638;1.16512;1.1637;1.16412
EURUSD;D;201102;0;1.16412;1.1656;1.1621;1.16404
EURUSD;D;201103;0;1.16404;1.17641;1.1635;1.176
EURUSD;D;201104;0;1.17613;1.1771;1.16016;1.17319
EURUSD;D;201105;0;1.17321;1.18598;1.1709;1.18165
EURUSD;D;201106;0;1.18166;1.1891;1.1794;1.18745
EURUSD;D;201108;0;1.1875;1.1895;1.1875;1.18922
EURUSD;D;201109;0;1.18923;1.19201;1.1794;1.18231
EURUSD;D;201110;0;1.18241;1.18433;1.1778;1.18183
EURUSD;D;201111;0;1.18183;1.18327;1.1744;1.17792
EURUSD;D;201112;0;1.17793;1.18232;1.1757;1.1804
EURUSD;D;201113;0;1.18032;1.18375;1.1797;1.1832
EURUSD;D;201115;0;1.1809;1.18489;1.1809;1.18445
EURUSD;D;201116;0;1.18447;1.1869;1.1812;1.18583
EURUSD;D;201117;0;1.18591;1.1894;1.18416;1.18634
EURUSD;D;201118;0;1.18636;1.18911;1.1843;1.1845
EURUSD;D;201119;0;1.18447;1.18826;1.1814;1.18653
EURUSD;D;201120;0;1.18651;1.18908;1.1848;1.1855
EURUSD;D;201122;0;1.1858;1.18661;1.18507;1.18654
EURUSD;D;201123;0;1.18657;1.19061;1.17989;1.18421
EURUSD;D;201124;0;1.18421;1.1898;1.1837;1.1896
EURUSD;D;201125;0;1.18973;1.19297;1.188;1.19164
EURUSD;D;201126;0;1.19165;1.19409;1.1884;1.191
EURUSD;D;201127;0;1.19109;1.19641;1.1908;1.1963
EURUSD;D;201129;0;1.19568;1.19739;1.19567;1.19715
EURUSD;D;201130;0;1.19721;1.20033;1.19217;1.1937
EURUSD;D;201201;0;1.19372;1.20767;1.1934;1.20697
EURUSD;D;201202;0;1.20705;1.21185;1.2038;1.2113
EURUSD;D;201203;0;1.21138;1.21746;1.2099;1.21445
EURUSD;D;201204;0;1.21449;1.21775;1.2109;1.212
EURUSD;D;201206;0;1.2113;1.21331;1.21122;1.212
EURUSD;D;201207;0;1.2119;1.21663;1.2077;1.2109
EURUSD;D;201208;0;1.21085;1.2134;1.2094;1.2109
EURUSD;D;201209;0;1.21094;1.21475;1.2057;1.20778
EURUSD;D;201210;0;1.20785;1.2159;1.2077;1.21424
EURUSD;D;201211;0;1.21424;1.2163;1.2103;1.2111
EURUSD;D;201213;0;1.2114;1.21435;1.211;1.21322
EURUSD;D;201214;0;1.21328;1.21768;1.2114;1.21485
EURUSD;D;201215;0;1.21477;1.21689;1.21194;1.21543
EURUSD;D;201216;0;1.21542;1.22123;1.21238;1.21952
EURUSD;D;201217;0;1.21962;1.22728;1.21889;1.22607
EURUSD;D;201218;0;1.22615;1.22688;1.2224;1.2255
EURUSD;D;201220;0;1.2252;1.2252;1.221;1.221
EURUSD;D;201221;0;1.22118;1.22531;1.2128;1.22344
EURUSD;D;201222;0;1.22348;1.22571;1.215;1.21861
EURUSD;D;201223;0;1.21869;1.2221;1.2152;1.21939
EURUSD;D;201224;0;1.21941;1.22157;1.21732;1.21832
EURUSD;D;201225;0;1.21816;1.2205;1.2161;1.21832
EURUSD;D;201227;0;1.2189;1.22073;1.21794;1.22029
EURUSD;D;201228;0;1.22029;1.22504;1.218;1.22194
EURUSD;D;201229;0;1.22186;1.22753;1.2217;1.2252
EURUSD;D;201230;0;1.22521;1.23101;1.225;1.22976
EURUSD;D;201231;0;1.22982;1.23093;1.2207;1.22138
EURUSD;D;210101;0;1.22138;1.22138;1.22138;1.22138
EURUSD;D;210103;0;1.22409;1.22527;1.2229;1.22499
EURUSD;D;210104;0;1.22496;1.23099;1.2237;1.22523
EURUSD;D;210105;0;1.22527;1.23057;1.2246;1.22977
EURUSD;D;210106;0;1.22987;1.23495;1.2264;1.2338
EURUSD;D;210107;0;1.23378;1.23445;1.2243;1.2268
EURUSD;D;210108;0;1.2269;1.22848;1.2191;1.22193
EURUSD;D;210110;0;1.2218;1.22284;1.2181;1.21871
EURUSD;D;210111;0;1.21863;1.21998;1.2131;1.2159
EURUSD;D;210112;0;1.21606;1.22097;1.2135;1.22083
EURUSD;D;210113;0;1.22078;1.22229;1.2138;1.21617
EURUSD;D;210114;0;1.21619;1.21785;1.211;1.21505
EURUSD;D;210115;0;1.21505;1.21625;1.2072;1.20749
EURUSD;D;210117;0;1.20831;1.20882;1.2065;1.20655
EURUSD;D;210118;0;1.20664;1.20869;1.2052;1.20769
EURUSD;D;210119;0;1.20778;1.2145;1.2075;1.21391
EURUSD;D;210120;0;1.21389;1.21582;1.2075;1.21145
EURUSD;D;210121;0;1.21145;1.21732;1.2107;1.21653
EURUSD;D;210122;0;1.21654;1.21896;1.215;1.21702
EURUSD;D;210124;0;1.21697;1.21716;1.21603;1.2167
EURUSD;D;210125;0;1.21667;1.21833;1.2114;1.21426
EURUSD;D;210126;0;1.21425;1.2176;1.2106;1.21625
EURUSD;D;210127;0;1.21633;1.21698;1.2057;1.2102
EURUSD;D;210128;0;1.21028;1.21424;1.2079;1.21198
EURUSD;D;210129;0;1.21208;1.2156;1.2092;1.21362
EURUSD;D;210131;0;1.2132;1.21422;1.2119;1.21227
EURUSD;D;210201;0;1.21227;1.21365;1.2053;1.20677
EURUSD;D;210202;0;1.20677;1.20878;1.201;1.2036
EURUSD;D;210203;0;1.20368;1.20502;1.2002;1.2041
EURUSD;D;210204;0;1.20413;1.2043;1.1956;1.19656
EURUSD;D;210205;0;1.19663;1.205;1.1951;1.20476
EURUSD;D;210207;0;1.2046;1.20551;1.20327;1.20484
EURUSD;D;210208;0;1.20484;1.2066;1.2018;1.2051
EURUSD;D;210209;0;1.20522;1.2122;1.2048;1.21156
EURUSD;D;210210;0;1.21158;1.21441;1.2107;1.21191
EURUSD;D;210211;0;1.21179;1.21495;1.2111;1.21297
EURUSD;D;210212;0;1.21297;1.21332;1.208;1.2119
EURUSD;D;210214;0;1.2098;1.21253;1.2091;1.21202
EURUSD;D;210215;0;1.21204;1.21452;1.2115;1.21319
EURUSD;D;210216;0;1.21312;1.21695;1.2084;1.20878
EURUSD;D;210217;0;1.20882;1.20985;1.2021;1.20444
EURUSD;D;210218;0;1.20452;1.20958;1.2034;1.20908
EURUSD;D;210219;0;1.20918;1.21445;1.208;1.21167
EURUSD;D;210221;0;1.21114;1.21292;1.21114;1.21246
EURUSD;D;210222;0;1.21237;1.21695;1.2089;1.21628
EURUSD;D;210223;0;1.21637;1.21801;1.2133;1.21505
EURUSD;D;210224;0;1.21498;1.21747;1.2107;1.21685
EURUSD;D;210225;0;1.21694;1.22432;1.2154;1.21574
EURUSD;D;210226;0;1.21575;1.21826;1.206;1.2071
EURUSD;D;210228;0;1.2068;1.2092;1.20665;1.20904
EURUSD;D;210301;0;1.20902;1.21012;1.2026;1.20485
EURUSD;D;210302;0;1.20477;1.20945;1.199;1.20849
EURUSD;D;210303;0;1.20841;1.21133;1.2041;1.20464
EURUSD;D;210304;0;1.20463;1.20632;1.1959;1.19672
EURUSD;D;210305;0;1.19672;1.19687;1.1892;1.1911
EURUSD;D;210307;0;1.19128;1.19321;1.1912;1.19259
EURUSD;D;210308;0;1.19253;1.19324;1.1842;1.18503
EURUSD;D;210309;0;1.18508;1.19158;1.1834;1.18969
EURUSD;D;210310;0;1.18968;1.193;1.1867;1.19242
EURUSD;D;210311;0;1.19242;1.199;1.1914;1.19808
EURUSD;D;210312;0;1.19809;1.19885;1.1908;1.19516
EURUSD;D;210314;0;1.1938;1.19544;1.1938;1.19493
EURUSD;D;210315;0;1.19499;1.19675;1.1909;1.19254
EURUSD;D;210316;0;1.19264;1.19519;1.1881;1.19016
EURUSD;D;210317;0;1.19013;1.19875;1.1884;1.19826
EURUSD;D;210318;0;1.19822;1.19889;1.1904;1.19174
EURUSD;D;210319;0;1.19169;1.19372;1.1872;1.1904
EURUSD;D;210321;0;1.19032;1.19032;1.187;1.18835
EURUSD;D;210322;0;1.18836;1.1947;1.1873;1.1932
EURUSD;D;210323;0;1.19322;1.19409;1.1835;1.18396
EURUSD;D;210324;0;1.18396;1.1851;1.1807;1.18119
EURUSD;D;210325;0;1.18127;1.18278;1.176;1.17747
EURUSD;D;210326;0;1.17755;1.18053;1.177;1.17928
EURUSD;D;210328;0;1.1793;1.17937;1.1784;1.17874
EURUSD;D;210329;0;1.17875;1.1794;1.1759;1.1767
EURUSD;D;210330;0;1.17677;1.1774;1.171;1.17232
EURUSD;D;210331;0;1.17231;1.17598;1.1702;1.17268
EURUSD;D;210401;0;1.17262;1.17827;1.1711;1.17772
EURUSD;D;210402;0;1.17769;1.17867;1.1747;1.1761
EURUSD;D;210404;0;1.1734;1.17679;1.1734;1.17666
EURUSD;D;210405;0;1.17675;1.18195;1.1736;1.18167
EURUSD;D;210406;0;1.18159;1.18776;1.1794;1.18736
EURUSD;D;210407;0;1.18737;1.19148;1.1859;1.18724
EURUSD;D;210408;0;1.18723;1.19275;1.1859;1.19145
EURUSD;D;210409;0;1.19151;1.19201;1.1866;1.19008
EURUSD;D;210411;0;1.1897;1.19041;1.18877;1.18953
EURUSD;D;210412;0;1.18958;1.19192;1.1869;1.19118
EURUSD;D;210413;0;1.19116;1.1956;1.18762;1.19537
EURUSD;D;210414;0;1.1952;1.19874;1.1949;1.19828
EURUSD;D;210415;0;1.19823;1.19933;1.1954;1.19692
EURUSD;D;210416;0;1.19693;1.19948;1.1949;1.19823
EURUSD;D;210418;0;1.1982;1.1982;1.19647;1.19686
EURUSD;D;210419;0;1.19689;1.20481;1.1941;1.20424
EURUSD;D;210420;0;1.20425;1.20798;1.2021;1.20324
EURUSD;D;210421;0;1.20314;1.20437;1.1997;1.20371
EURUSD;D;210422;0;1.20372;1.20697;1.1992;1.20139
EURUSD;D;210423;0;1.20144;1.21;1.2011;1.20965
EURUSD;D;210425;0;1.2098;1.20986;1.2087;1.20891
EURUSD;D;210426;0;1.20892;1.2117;1.2059;1.20795
EURUSD;D;210427;0;1.20795;1.2093;1.2055;1.20891
EURUSD;D;210428;0;1.2089;1.21355;1.2054;1.21347
EURUSD;D;210429;0;1.21339;1.215;1.21;1.2123
EURUSD;D;210430;0;1.21236;1.21266;1.2015;1.2019
EURUSD;D;210502;0;1.202;1.2035;1.20194;1.20269
EURUSD;D;210503;0;1.20262;1.20762;1.2011;1.2058
EURUSD;D;210504;0;1.20588;1.20601;1.1997;1.20137
EURUSD;D;210505;0;1.20142;1.20267;1.1984;1.20072
EURUSD;D;210506;0;1.20067;1.20719;1.1991;1.20648
EURUSD;D;210507;0;1.2064;1.21715;1.2051;1.21625
EURUSD;D;210509;0;1.2162;1.21769;1.21598;1.21704
EURUSD;D;210510;0;1.21705;1.21783;1.21257;1.21397
EURUSD;D;210511;0;1.21401;1.21817;1.2121;1.21442
EURUSD;D;210512;0;1.21432;1.21522;1.2064;1.20774
EURUSD;D;210513;0;1.20774;1.21061;1.205;1.20765
EURUSD;D;210514;0;1.20765;1.21477;1.2069;1.21451
EURUSD;D;210516;0;1.2148;1.21512;1.21375;1.21497
EURUSD;D;210517;0;1.21496;1.2169;1.2124;1.21563
EURUSD;D;210518;0;1.21561;1.22341;1.2152;1.22223
EURUSD;D;210519;0;1.22224;1.22455;1.2158;1.21704
EURUSD;D;210520;0;1.21696;1.22301;1.2167;1.22242
EURUSD;D;210521;0;1.2224;1.22399;1.2159;1.2178
EURUSD;D;210523;0;1.2178;1.21844;1.2171;1.21807
EURUSD;D;210524;0;1.21806;1.223;1.2173;1.22139
EURUSD;D;210525;0;1.22139;1.22664;1.221;1.2247
EURUSD;D;210526;0;1.2246;1.2263;1.218;1.2192
EURUSD;D;210527;0;1.21912;1.22151;1.2173;1.21925
EURUSD;D;210528;0;1.21927;1.2205;1.21306;1.2189
EURUSD;D;210530;0;1.2194;1.22003;1.2187;1.2189
EURUSD;D;210531;0;1.21892;1.22345;1.21814;1.22323
EURUSD;D;210601;0;1.2232;1.22544;1.22095;1.22166
EURUSD;D;210602;0;1.22166;1.22265;1.2162;1.22092
EURUSD;D;210603;0;1.22093;1.22142;1.2116;1.21298
EURUSD;D;210604;0;1.21298;1.21858;1.21019;1.2164
EURUSD;D;210606;0;1.21596;1.21677;1.21591;1.21663
EURUSD;D;210607;0;1.21663;1.22018;1.21429;1.2189
EURUSD;D;210608;0;1.21897;1.21942;1.2162;1.21716
